month,country,portfolio,assetno,dc_capacity_mw,ic_approved_budget,expected_budget,weather_loss_or_gain,grid_curtailment,grid_outage,operation_budget,breakdown_loss,unclassified_loss,actual_generation,string failure,inverter failure,ac_failure,expected_pr,actual_pr,pr_gap,pr_gap_observation,pr_gap_action_need_to_taken,revenue_loss,revenue_loss_observation,revenue_loss_action_need_to_taken,budgeted_irradiation,actual_irradiation,ac_capacity_mw,bess_capacity_mwh,bess_generation_mwh,ppa_rate,ic_approved_budget_$,expected_budget_$,actual_generation_$
2025-01,Korea,Korea-Blackwood ,KR_BW_18,0.4806,39.44856831,30.09308,8.749047347,0,0,38.84212735,0,0.235302653,39.07743,0,0,0,0.734063858,0.738510761,0.004446903,,,26,,,85.3,110.0995133,0.5,1.4976,38.327,0.109296439,4311.58802,3289.066468,4271.023925
2025-01,Korea,Korea-Blackwood ,KR_BW_19,2.914,240.7258452,220.2794,21.75832112,0,0,242.0377211,-32.765,-44.58278866,164.6899325,0,-32.765,0,0.799931003,0.544297733,-0.25563327,"1. Inverter Breakdown loss (-32.77MWh, -10.83%) 
",1. String monitoring is not available for further analysis. ,-3496,,,94.5,103.8343333,2.97,0,,0.078421904,18878.17913,17274.72997,12915.29808
2025-01,Korea,Korea-Blackwood ,KR_BW_20,0.32292,28.61626601,28.02052,1.553190258,0,0,29.57371026,-5.55629,-6.063894064,17.95352619,0,-5.55629,0,0.870334278,0.528360125,-0.341974153,"Inverter breakdown loss (-5.56MWh,-16.35%)",Inverter generation is resumed. (Closed),-476,"Inverter breakdown loss (-5.56MWh,-16.35%)",1. Inverter Generation resumed (Closed),99.7,105.2264167,0.365,0,,0.078421904,2244.142067,2197.42253,1407.949708
2025-01,Korea,Korea-Blackwood ,KR_BW_21,0.9933,93.37330701,101.6792,-3.283442626,0,0,98.39575737,0,-20.73268441,77.66307296,0,0,0,0.834270952,0.658484141,-0.175786811,,,-1626,,,122.7,118.73775,1.08,0,,0.078421904,7322.512522,7973.876465,6090.486055
2025-01,Korea,Korea-Blackwood ,KR_BW_22,0.4968,52.34038302,52.74374,2.408293736,0,0,55.15203374,0,-9.230586148,45.92144759,0,0,0,0.862444748,0.71810065,-0.144344098,,,-724,,,123.1,128.72078,0.5,0,,0.078421904,4104.632494,4136.264517,3601.247356
2025-01,Korea,Korea-Blackwood ,KR_BW_23,0.09675,9.387946706,9.72706,-0.314107934,0,0,9.412952066,0,-1.92106274,7.491889326,0,0,0,0.819381319,0.652156105,-0.167225214,,,-151,,,122.7,118.73775,0.1,0,,0.078421904,736.2206557,762.8145659,587.5282258
2025-01,Korea,Korea-Blackwood ,KR_BW_24,0.69915,45.26936096,45.26936096,2.421609016,0,0,47.69096998,-1.69746,18.09816002,64.09167,-1.69746,0,0,0.575547908,0.773476123,0.197928215,,,1419,,,112.5,118.518,0.75,0,,0.078421904,3550.109481,3550.109481,5026.190794
2025-01,Korea,Korea-Blackwood ,KR_BW_25,0.063,6.283823864,6.21843,-0.191095451,0,0,6.027334549,-0.72288,-0.865478918,4.438975631,-0.72288,0,0,0.817096342,0.601770272,-0.21532607,,,-68,,,120.8,117.0877558,0.0666,0,,0.078421904,492.789432,487.6611207,348.112921
2025-01,Korea,Korea-Blackwood ,KR_BW_26,25.04158,2403.65153,2279.43,91.9415787,0,0,2371.371579,-44.21997,-136.1459266,2191.005682,0,-44.21997,0,0.842051858,0.778005616,-0.064046242,,,-10677,,,108.1,112.46025,25,0,,0.078421904,188498.9296,178757.2407,171822.8373
2025-01,Korea,Korea-Blackwood ,KR_BW_27,0.3906,30.37715553,29.3568,6.83875899,0,0,36.19555899,-8.196,-3.60555899,24.394,0,-8.196,0,0.706374231,0.476060972,-0.230313259,,,-283,"Inverter breakdown loss (-8.20MWh,-15.99%)",Inverter supposed to be replaced by 2nd week of January but could not happened due to poor response from BW.  Our team following up with BW for early replacement. ,106.4,131.186215,0.4,0,,0.078421904,2382.234376,2302.216152,1913.023927
2025-01,Korea,Korea-Blackwood ,KR_BW_28,9.95553,951.7790794,875.196,68.56521472,0,0,943.7612147,0,44.11663098,987.8778457,0,0,0,0.82313238,0.86161015,0.038477771,,,3460,,,106.8,115.167,0.9,29.3,,0.078421904,74640.32763,68634.53673,77471.26162
2025-01,Korea,Korea-Blackwood ,KR_BW_29,0.9964,91.13351443,91.8566,4.228683183,0,0,96.08528318,-0.98693,-6.668011014,88.43034217,-0.98693,0,0,0.851232489,0.783416333,-0.067816155,,,-523,,,108.3,113.2856667,1.1,0,,0.078421904,7146.863723,7203.56947,6934.875808
2025-01,Korea,Korea-Blackwood ,KR_BW_30,0.49896,45.54667159,45.3003,0.453436911,0,0,45.75373691,-5.25405,-7.506242478,32.99344443,0,-5.25405,0,0.802736004,0.578860384,-0.223875619,,,-589,,,113.1,114.2320833,0.5,0,,0.078421904,3571.856709,3552.535779,2587.408733
2025-01,Korea,Korea-Blackwood ,KR_BW_31,2.9946,248.4810696,239.766,-11.15311877,0,0,228.6128812,-59.95407,8.700336598,177.3591478,0,-59.95407,0,0.73522607,0.570392484,-0.164833586,,,682,String wise details are not available in the monitoring portal for further analysis ,Site inspection is required for further analysis ,108.9,103.8343333,3,0,,0.078421904,19486.3586,18802.90624,13908.84207
2025-01,Korea,Korea-Blackwood ,KR_BW_32,0.05934,5.291837991,5.422472,0.299855388,0,0,5.722327388,0,-0.756185463,4.966141925,0,0,0,0.880344028,0.764009657,-0.116334371,,,-59,,,103.8,109.54,0.05,0,,0.078421904,414.9960111,425.2405788,389.4543055
2025-01,Korea,Korea-Blackwood ,KR_BW_33,0.09675,9.349138413,9.87714,-0.318954344,0,0,9.558185656,0,-1.825969743,7.732215913,0,0,0,0.832023654,0.673076122,-0.158947532,,,-143,,,122.7,118.73775,0.2,0,,0.078421904,733.1772354,774.5841252,606.3750943
2025-01,Korea,Korea-Blackwood ,KR_BW_34,0.99375,92.31219566,93.4648,5.008422123,0,0,98.47322212,0,-18.17106646,80.30215567,0,0,0,0.870052072,0.709503105,-0.160548966,,,-1425,,,108.1,113.8926667,1.1,0,,0.078421904,7239.298149,7329.687576,6297.447946
2025-01,Korea,Korea-Blackwood ,KR_BW_35,0.9964,84.38442064,87.3158,9.282135679,0,0,96.59793568,-2.4283,-15.09567092,79.07396476,-2.3333,-0.095,0,0.855774146,0.700526923,-0.155247223,,,-1184,,,102.4,113.2856667,1.168,0,,0.078421904,6617.586938,6847.471288,6201.130876
2025-01,Korea,Korea-Blackwood ,KR_BW_36,0.2544,19.68859681,16.61688,6.390013177,0,0,23.00689318,0,-4.522982363,18.48391081,0,0,0,0.722543413,0.580496806,-0.142046607,,,-494,,,90.4,125.1632763,0.25,0.832,20.6438,0.109296439,2151.89351,1816.165803,2020.225621
2025-01,Korea,Korea-Blackwood ,KR_BW_37,0.4512,34.6396443,31.24044,12.01349611,0,0,43.25393611,-7.9856,-9.789368237,25.47896787,-2.922,-5.0636,0,0.765913317,0.451165432,-0.314747884,"1. Inverter Breakdown loss (-5.06MWh, -8.96%) 
2. String failure loss (-2.92MWh, -5.17%) ",Generation is resumed after the rectification (Closed),-1070,"1. Inverter breakdown from 20.01.2025 to 23.01.2025. 
2. Inverter Breakdown loss (-5.06MWh, -8.96%)","1. Inverter Generation resumed. (Closed)
2. Inverter Generations resumed (Closed)",90.4,125.1632763,0.6,1.4976,31.2715,0.109296439,3785.989753,3414.468829,2784.760445
2025-01,Korea,Korea-Blackwood ,KR_BW_38,0.2832,22.77752412,23.5383,5.18869995,0,0,28.72699995,-0.41045,-10.37558181,17.94096814,0,-0.41045,0,0.784108171,0.489701665,-0.294406506,"Inverter Breakdown loss (-0.41MWh, -1.12%) ",String monitoring is not available for further analysis. ,-814,"1. Inverter Breakdown loss (-0.41MWh, -1.12%) 
2. String monitoring is not available for further analysis. ","1. Inverter Generation resumed (Closed)
2. String monitoring is not available for further analysis ",106,129.3662667,0.25,0.665,19.1312,0.078421904,1786.256811,1845.918304,1406.964882
2025-01,Korea,Korea-Blackwood ,KR_BW_39,0.99873,95.73334371,89.001,7.7633145,0,0,96.7643145,0,-15.23853619,81.52577831,0,0,0,0.802107786,0.67579109,-0.126316696,,,-1195,,,111.1,120.79095,1,0,,0.078421904,7507.591094,6979.627881,6393.406763
2025-01,Korea,Korea-Blackwood ,KR_BW_40,0.05796,4.652188364,3.860626,1.640677021,0,0,5.501303021,-0.067,-1.891983021,3.54232,0,-0.067,0,0.83784219,0.539491305,-0.298350885,"Inverter breakdown loss (-0.07MWh,-1.02%)
",String monitoring is not available for further analysis. Only one inverter installed at site ,-148,"1. Inverter breakdown loss (-0.07MWh,-1.02%)
2. String monitoring is not available for further analysis. Only one inverter installed at site ","1. Inverter Generation resumed (Closed)
2. String monitoring is not available for further analysis ",79.5,113.2856667,0.06,0,,0.078421904,364.8334694,302.7576417,277.7954791
2025-01,Korea,Korea-Blackwood ,KR_BW_41,0.9804,84.49149226,84.889,-2.742639427,0,0,82.14636057,0,-8.249539886,73.89682069,0,0,0,0.815311557,0.733433977,-0.08187758,,,-647,,,106.2,102.7688333,1,0,,0.078421904,6625.983698,6657.157012,5795.129381
2025-01,Korea,Korea-Blackwood ,KR_BW_42,0.9804,83.13327386,83.013,-2.682028611,0,0,80.33097139,0,-3.555080708,76.77589068,0,0,0,0.797293622,0.762009059,-0.035284562,,,-279,,,106.2,102.7688333,1,0,,0.078421904,6519.469625,6510.03752,6020.911531
2025-01,Korea,Korea-Blackwood ,KR_BW_43,0.099,9.094883042,9.23296,1.064757592,0,0,10.29771759,0,-0.664070172,9.63364742,0,0,0,0.857189542,0.801911856,-0.055277687,,,-52,,,108.8,121.346965,0.12,0,,0.078421904,713.2380451,724.0663031,755.4889735
2025-01,Korea,Korea-Blackwood ,KR_BW_44,0.099,9.453015344,9.70596,0.589396542,0,0,10.29535654,0,-0.78294817,9.512408372,0,0,0,0.856993007,0.791819829,-0.065173178,,,-61,,,114.4,121.346965,0.12,0,,0.078421904,741.3234622,761.1598637,745.9811765
2025-01,Korea,Korea-Blackwood ,KR_BW_45,0.099,7.436641726,6.97374,0.8035365,0,0,7.7772765,0,0.092873962,7.870150462,0,0,0,0.809676071,0.819344986,0.009668915,,,7,,,87,97.02441667,0.12,0,,0.078421904,583.1956038,546.8939691,617.1921843
2025-01,Korea,Korea-Blackwood ,KR_BW_46,0.09855,7.433068984,6.90696,0.795841896,0,0,7.702801896,0,0.156257836,7.859059732,0,0,0,0.805584422,0.821926382,0.01634196,,,12,,,87,97.02441667,0.12,0,,0.078421904,582.9154226,541.6569543,616.3224281
2025-01,Korea,Korea-Blackwood ,KR_BW_47,0.09855,7.848707791,7.31718,0.843108749,0,0,8.160288749,0,-0.209078389,7.951210359,0,0,0,0.853429906,0.831563799,-0.021866107,,,-16,,,87,97.02441667,0.12,0,,0.078421904,615.5106092,573.8271878,623.5490557
2025-01,Korea,Korea-Blackwood ,KR_BW_48,0.05888,4.950852892,4.766,0.300153405,0,0,5.066153405,0,-0.394833405,4.67132,0,0,0,0.745343402,0.687254661,-0.058088741,,,-31,,,108.6,115.4394167,0.06,0,,0.078421904,388.2553104,373.7587946,366.3338088
2025-01,Korea,Korea-Iceberg,KR_IB_49,99.986,7514.125059,7332.235,563.4076677,0,0,7895.642668,-197.5,859.2513323,8557.394,0,-197.5,0,0.793643036,0.86016002,0.066516984,,,49802,,,92.4,99.5,99.75,0,,0.05796,435518.6884,424976.3406,495986.5562
2025-01,Japan ,JP Minamata,JP-MINA,28.24548,2072.597954,2018.503151,158.4578944,-263.8365602,0,1913.124486,-453.75,94.82551442,1554.2,-243.36,-210.39,0,0.764308803,0.545663756,-0.218645047,,,23555,,,93.5,100.84,20.4,0,,0.2484,514833.3318,501396.1827,386063.28
2025-01,Singapore ,SG Matco Asia,SG_DG_ONS_00055,0.851,84.624274,84.624274,-18.07533587,0,0,66.54893813,0,4.891061866,71.44,0,0,0,0.751064804,0.806264849,0.055200046,,,387,,,132.4,104.12,0.7,0,,0.07918,6700.550015,6700.550015,5656.6192
2025-01,Taiwan ,TW-Yunlin,TW1,24.81678,2527.361988,2540,0,0,0,2540,,-386.1027,2153.8973,,,0,,,0,,,0,,,0,0,27.2,0,,0,0,0,0
2025-02,Korea,Korea-Blackwood ,KR_BW_01,0.1944,19.24019112,17.323,1.502264996,0,0,18.825265,-1.587,3.720735004,20.959,-1.587,,0,0.761624635,0.847950386,0.086325751,,,292,,,117,127.1463375,0.2,0,,0.078421904,1508.852422,1358.502644,1643.644687
2025-02,Korea,Korea-Blackwood ,KR_BW_02,0.34776,34.20163199,29.39422,3.471349235,0,0,32.86556924,0,4.230890765,37.09646,,,0,0.721814194,0.814735664,0.09292147,,,332,,,117.1,130.9290792,0.35,0,,0.078421904,2682.157102,2305.1507,2909.175026
2025-02,Korea,Korea-Blackwood ,KR_BW_03,0.099,10.28956927,9.2649,0.639063627,0,0,9.903963627,-0.129,0.774796373,10.54976,-0.129,,0,0.796466796,0.84840109,0.051934295,,,61,,,117.5,125.60478,0.1,0,,0.078421904,806.9276139,726.5710987,827.3322663
2025-02,Korea,Korea-Blackwood ,KR_BW_04,0.949875,94.36997822,93.7062,2.2992725,0,0,96.0054725,-1.767,2.4198275,96.6583,-1.767,,0,0.849707887,0.855485815,0.005777928,,,190,,,116.1,118.94875,1,0,,0.078421904,7400.673376,7348.618624,7580.127927
2025-02,Korea,Korea-Blackwood ,KR_BW_05,0.9964,98.86889546,99.0462,-1.300160185,0,0,97.74603982,-4.318,0.565400185,93.99344,-4.318,,0,0.861386955,0.82831717,-0.033069785,,,44,,,115.4,113.8851667,1.168,0,,0.078421904,7753.487032,7767.391592,7371.144532
2025-02,Korea,Korea-Blackwood ,KR_BW_06,0.9964,93.8132323,96.965,1.54414528,0,0,98.50914528,-4.093,-9.61924528,84.7969,-4.093,,0,0.868111822,0.747272663,-0.120839159,,,-754,,,112.1,113.8851667,1.168,0,,0.078421904,7357.012301,7604.179925,6649.934354
2025-02,Korea,Korea-Blackwood ,KR_BW_07,0.9964,100.9113568,101.5058,-2.617819242,0,0,98.88798076,0,-2.508210758,96.37977,,,0,0.871450309,0.849346702,-0.022103607,,,-197,,,116.9,113.8851667,1.1,0,,0.078421904,7913.660739,7960.278107,7558.285074
2025-02,Korea,Korea-Blackwood ,KR_BW_08,0.9964,96.66305598,96.3974,1.100237347,0,0,97.49763735,-2.644,-8.711697347,86.14194,-2.644,,0,0.859197908,0.759125828,-0.10007208,,,-683,,,112.6,113.8851667,1.1,0,,0.078421904,7580.5009,7559.667652,6755.414952
2025-02,Korea,Korea-Blackwood ,KR_BW_09,1.19637,99.83182435,109.263,10.54587957,0,0,119.8088796,-7.982,-15.61629957,96.21058,-7.982,,0,0.859160579,0.689934986,-0.169225593,,,-1707,Inverters are underperforming with respect to budgeted., String wise details are not available for further analysis. ,106.3,116.5598958,1.2,0,,0.109296439,10911.26285,11942.05676,10515.47374
2025-02,Korea,Korea-Blackwood ,KR_BW_10,0.1971,21.16636799,20.0694,1.757669626,0,0,21.82706963,0,-1.812009626,20.01506,,,0,0.863642408,0.791945731,-0.071696677,,,-142,,,117.9,128.2256325,0.2,0,,0.078421904,1659.906879,1573.880561,1569.619115
2025-02,Korea,Korea-Blackwood ,KR_BW_11,0.75141,71.22813952,71.9318,6.299756844,0,0,78.23155684,-1.281,-18.57437684,58.37618,-1.281,,0,0.81195162,0.605876143,-0.206075477,"1. Inverter Breakdown loss (-1.281MWh, PR Loss: -1.33%) 
2. Tree and fence Shading issue on solar modules.","1. Inverter generation resumed (Closed)
2. Uncontrollable ",-1457,,,117.9,128.2256325,0.75,0,,0.078421904,5585.846322,5641.028717,4577.971186
2025-02,Korea,Korea-Blackwood ,KR_BW_12,0.99873,95.94000361,97.185,1.597025659,0,0,98.78202566,0,-2.751145659,96.03088,,,0,0.821169468,0.798299347,-0.02287012,,,-216,,,118.5,120.4472917,1,0,,0.078421904,7523.797756,7621.432744,7530.924456
2025-02,Korea,Korea-Blackwood ,KR_BW_13,0.99333,92.21772079,92.163,1.500461904,0,0,93.6634619,0,-4.574461904,89.089,,,0,0.81890428,0.778909534,-0.039994747,,,-359,,,113.3,115.1445833,1,0,,0.078421904,7231.88925,7227.597942,6986.529009
2025-02,Korea,Korea-Blackwood ,KR_BW_14,0.3843,38.08790645,33.88208,2.735142974,0,0,36.61722297,-0.546,-3.141942974,32.92928,-0.546,,0,0.753553025,0.677658122,-0.075894903,,,-246,,,117,126.4448667,0.4,0,,0.078421904,2986.926145,2657.097226,2582.376836
2025-02,Korea,Korea-Blackwood ,KR_BW_15,0.3843,38.08942131,33.64632,3.14059958,0,0,36.78691958,-37.66909,0.88217042,0,,-37.66909,0,0.735732982,0,-0.735732982,"Fire incident happened in the month of Oct-2024. 
All the inverters, VCB and LBS are damaged and observed transformer abnormality. 
","
Inverters are replaced (done). 
Plant earthing and Transformer testing under progress. (pending) 
There is a partial discharge in the spacer after checking the transformer. Spacer will be replaced. Feb-24 Gen Loss: -37.67 MWh & Revenue Loss: -2,956 in USD.",69,"Fire incident happened in the month of Oct-2024. All the inverters, VCB and LBS are damaged and observed transformer abnormality. ",There is a partial discharge in the spacer after checking the transformer. Planned to replace the spacer on 11th Mar 2025. ,119,130.1076442,0.4,0,,0.078421904,2987.044943,2638.608478,0
2025-02,Korea,Korea-Blackwood ,KR_BW_16,0.99792,97.71645468,96.815,8.706358616,0,0,105.5213586,0,17.44256138,122.96392,,,0,0.730548155,0.851306939,0.120758785,,,1368,,,132.8,144.74241,1.02,0,,0.078421904,7663.110432,7592.416639,9643.064734
2025-02,Korea,Korea-Blackwood ,KR_BW_18,0.4806,46.97370542,36.5007,2.716053794,0,0,39.21675379,0,1.058976206,40.27573,,,0,0.758723174,0.779211096,0.020487922,,,116,,,100.1,107.5485417,0.5,1.4976,41.1449,0.109296439,5134.058706,3989.396513,4401.993847
2025-02,Korea,Korea-Blackwood ,KR_BW_19,2.914,279.7836872,256.0198,57.13267595,0,0,313.152476,-4.516,-27.51847595,281.118,-4.516,,0,0.800168898,0.718314232,-0.081854666,,,-2158,Inverters are underperforming with respect to budgeted., String wise details are not available for further analysis. ,109.8,134.3026667,2.97,0,,0.078421904,21941.16947,20077.56019,22045.80882
2025-02,Korea,Korea-Blackwood ,KR_BW_20,0.32292,31.64019959,30.9815,0.129678496,0,0,31.1111785,-0.829,-7.173898496,23.10828,-0.829,,0,0.875380651,0.650201701,-0.22517895,"1. Inverter Breakdown loss(-0.829MWh, PR Loss: -2.34%)",1. Inverter generation resumed (Closed),-563,,,109.6,110.05875,0.365,0,,0.078421904,2481.284696,2429.62822,1812.195317
2025-02,Korea,Korea-Blackwood ,KR_BW_21,0.9933,98.36929576,107.1196,17.18589456,0,0,124.3054946,0,-17.89199456,106.4135,,,0,0.841859035,0.720685491,-0.121173544,,,-1403,,,128.1,148.6519167,1.08,0,,0.078421904,7714.307472,8400.522992,8345.149285
2025-02,Korea,Korea-Blackwood ,KR_BW_22,0.4968,53.42014194,53.83182,5.076673079,0,0,58.90849308,0,-8.906663079,50.00183,,,0,0.857934486,0.728219177,-0.12971531,,,-698,,,126.3,138.21087,0.5,0,,0.078421904,4189.309245,4221.593822,3921.238714
2025-02,Korea,Korea-Blackwood ,KR_BW_23,0.09675,9.922072893,10.28048,1.649364311,0,0,11.92984431,0,-1.602034311,10.32781,,,0,0.829494077,0.718103019,-0.111391057,,,-126,,,128.1,148.6519167,0.1,0,,0.078421904,778.1078483,806.214816,809.9265247
2025-02,Korea,Korea-Blackwood ,KR_BW_24,0.69915,53.90486188,53.90486188,3.748213884,0,0,57.65307577,-1.897,9.396454233,65.15253,-1.897,,0,0.658416462,0.744062614,0.085646153,,,737,,,117.1,125.2424167,0.75,0,,0.078421904,4227.321905,4227.321905,5109.385455
2025-02,Korea,Korea-Blackwood ,KR_BW_25,0.063,6.270333474,6.20508,1.039363157,0,0,7.244443157,-0.803,-0.686973157,5.75447,-0.803,,0,0.810644719,0.643918465,-0.166726254,"1.Inverter underperforming loss (-0.803MWh,-8.98%)
2.Tree and fence Shading issue on solar modules","1. Inverter generation resumed (Closed)
2. Uncontrollable ",-54,,,121.5,141.85149,0.0666,0,,0.078421904,491.73149,486.6141883,451.2764941
2025-02,Korea,Korea-Blackwood ,KR_BW_26,25.04158,2527.21746,2396.61,260.8576141,-110.08,0,2547.387614,-152.71,-89.24546622,2305.432148,,-5.71,-147,0.837316037,0.726396551,-0.110919486,,,-6999,"1. Inverter breakdown loss: $ 448 
2.  On Feb 3, Grid outage due to high wind and resumed: $ 7685
3. VCB is tripped due to overcurrent fault and resumed: $ 3843","1. Inverter Generation is resumed (Closed)
2. After grid resumed, plant is charged (Closed)
3. After the fault reset, plant is charged (Closed) ",114.3,126.7409167,25,0,,0.078421904,198189.2051,187946.7194,180796.3787
2025-02,Korea,Korea-Blackwood ,KR_BW_27,0.3906,36.17184644,32.18406,3.492359833,0,0,35.67641983,-8.713,-1.066419833,25.897,,-8.713,0,0.718365013,0.52145083,-0.196914183,"1. Inverter #1: Fault occurred, and replacement has been completed. 
2. Inverter breakdown loss (-8.713MWh,-17.56%) ","1. Inverter generation resumed (Closed)
2. Inverter generation resumed (Closed)",-84,,,114.7,127.1463375,0.4,0,,0.078421904,2836.66507,2523.935265,2030.892049
