Date,KR_BW_01,KR_BW_02,KR_BW_03,KR_BW_04,KR_BW_05,KR_BW_06,KR_BW_07,KR_BW_08,KR_BW_09,KR_BW_10,KR_BW_11,KR_BW_12,KR_BW_13,KR_BW_14,KR_BW_15,KR_BW_16,KR_BW_18,KR_BW_19,KR_BW_20,KR_BW_21,KR_BW_22,KR_BW_23,KR_BW_24,KR_BW_25,KR_BW_26,KR_BW_27,KR_BW_28,KR_BW_29,KR_BW_30,KR_BW_31,KR_BW_32,KR_BW_33,KR_BW_34,KR_BW_35,KR_BW_36,KR_BW_37,KR_BW_38,KR_BW_39,KR_BW_40,KR_BW_41,KR_BW_42,KR_BW_43,KR_BW_44,KR_BW_45,KR_BW_46,KR_BW_47,KR_BW_48,KR_IB_49,JP-MINA,SG_DG_ONS_00055,KR_DG_ONS_00028,KR_DG_OFS_00033,TW1
2025-01-01 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
2025-01-02 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
2025-01-03 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
2025-01-04 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
2025-01-05 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
2025-01-06 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
2025-01-07 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
2025-01-08 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
2025-01-09 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
2025-01-10 00:00:00,3.55483871,3.55483871,3.570967742,3.477419355,3.493548387,3.306451613,3.512903226,3.3,3.009677419,3.596774194,3.593548387,3.548387097,3.348387097,3.319354839,3.406451613,4.229032258,2.751612903,3.048387097,3.216129032,3.958064516,3.970967742,3.958064516,3.629032258,3.896774194,3.487096774,3.432258065,3.44516129,3.493548387,3.648387097,3.512903226,3.348387097,3.958064516,3.487096774,3.303225806,2.916129032,2.916129032,3.419354839,3.583870968,2.564516129,3.425806452,3.425806452,3.509677419,3.690322581,2.806451613,2.806451613,2.806451613,3.503225806,2.980645161,3.016129032,4.270967742,3.803225806,3.477419355,3.796774194
