Date,JP-MINA,KR_BW_01,KR_BW_02,KR_BW_03,KR_BW_04,KR_BW_05,KR_BW_06,KR_BW_07,KR_BW_08,KR_BW_09,KR_BW_10,KR_BW_11,KR_BW_12,KR_BW_13,KR_BW_14,KR_BW_15,KR_BW_16,KR_BW_18,KR_BW_19,KR_BW_20,KR_BW_21,KR_BW_22,KR_BW_23,KR_BW_24,KR_BW_25,KR_BW_26,KR_BW_27,KR_BW_28,KR_BW_29,KR_BW_30,KR_BW_31,KR_BW_32,KR_BW_33,KR_BW_34,KR_BW_35,KR_BW_36,KR_BW_37,KR_BW_38,KR_BW_39,KR_BW_40,KR_BW_41,KR_BW_42,KR_BW_43,KR_BW_44,KR_BW_45,KR_BW_46,KR_BW_47,KR_BW_48,KR_DG_OFS_00033,KR_DG_ONS_00028,KR_IB_49,SG_DG_ONS_00055,TW1
1/13/2025 0:00,67580.66,849,1401.14,368.24,3274.46,3424.26,2995.88,3620.26,3173.3,2778.97,803.17,2504.03,3362.69,3176.73,1521.04,0,3196.44,1255.77,4187,0,2719.76,1882.76,260.46,2997.16,191.45,0,1075,37044.8,3531.07,978.84,4428.5,200.54,273.56,3529.29,3138.42,615.54,1080.26,795.57,3318.02,134.81,3024.87,3258.96,392.61,397,281.26,283.16,281.07,179.05,0,0,294580,1062.7,0
1/14/2025 0:00,79567.53,711,1212.54,324.02,3059.15,3086.66,2799.83,3189.06,2835.27,3393.09,655.34,2091.97,3352.21,3098.35,1393.38,0,2434.59,1589.01,7183.5,0,2408.03,1695.48,242.68,2191.55,166.47,0,868,34815.7,3146.3,1599.49,7617.4,181.63,240.39,3268.16,2970.67,894.68,1366.96,899.44,2888.2,127.37,2729.92,2913.94,344.47,345,286.18,281.88,288.17,165.42,0,0,321770,1656.69,0
1/15/2025 0:00,7786.88,319,591.2,252.38,2585.7,1898.47,1766.27,1981.01,1835.41,1684.82,479.84,1522.28,2260.11,1899.63,657.49,0,4256.73,775.6,8747,4.7,3520.93,2116.24,345.45,1164.88,126.42,0,399,29398.4,1937.92,1067.05,9059,130.87,352.06,2177.61,1818.44,519.5,893.45,483.73,1842.36,89.51,2105.28,2282.49,275.09,277,236.78,233.81,237.97,107.2,0,0,251880,1399.91,0
1/16/2025 0:00,19219.37,612,967.5,344.49,3567.9,2891.53,2602.09,2932.15,2679.49,1548.11,624.84,2013.67,3156.36,3221.02,1089.12,0,1359.03,349.9,8553,855.92,1070.91,1757.08,104.76,2417.1,169.89,0,794,37545.4,2965.97,525.46,8857.4,182.55,99.28,2852.28,2768.77,209.99,378.97,672.48,2860.27,119.92,3143.39,3357.29,354.33,353,239.81,236.92,237.88,155.1,0,0,317160,3180.57,4741
1/17/2025 0:00,70470.28,1070,1722.37,507.2,4616.8,4607.57,3999.42,4756.71,4244.06,3537.97,927.72,2744.53,4686.69,4284.15,1879.8,0,3814,1932.03,10602,1121.18,3209,2138.23,311.1,3549.34,198.57,0,1357,49462.9,4760.77,444.17,10830.7,252.42,314.93,4632.69,4224.06,983.81,1543.77,1109.12,4703.2,166.67,3906.48,4172,492.91,500,393.98,394.2,391.35,231.5,0,0,438500,2594.45,59289
1/18/2025 0:00,75368.56,727,1185.92,323.18,3128.47,3068.75,2735.99,3291.02,2940.73,2936.58,656.2,2132.54,3294.53,3056.16,1462.92,0,3759.68,1926.14,8538,855.73,3111.18,1747.45,301,2262.46,166.85,0,911,33683.9,3178.75,1660.29,8568.9,188.64,313.66,3281,2878.82,1031.45,1647.23,870.25,3042.99,137.02,2796.64,2940.12,337.54,338,290.78,290.28,289.63,171.65,0,0,299380,2176.91,29402
1/19/2025 0:00,57716.81,690,1256.66,337.11,3548.14,3245.03,2895.14,3476.83,3031.72,3508.52,642.8,2061.4,3328.97,3134.91,904.7,0,3111.04,1700.06,8778,903.65,2626.1,1966.47,258.93,2182.34,179.99,0,862,43394.6,3380.17,2003.3,8895.6,187.92,264.57,3478.05,3040.07,987.13,1662.99,842.4,3103.58,134.63,3509.88,3699.91,338.83,344,304.81,310.05,306.19,170.32,0,0,258940,1135.08,47168
1/20/2025 0:00,87468.7,497,873.42,295.08,2890.58,3436.56,3120.7,3435.54,3119.15,3377.53,627.04,2045.82,2780,2762.88,825.39,0,2350.9,1566.13,4976,876.84,1830.14,1686.15,182.06,1741.55,161.96,0,614,31493.6,3605.11,1736.44,3563.3,187.17,184.83,3176.93,3374.24,938.9,705.66,715.02,3032.28,137.22,2972.5,3119.05,315.71,315,311.94,317.08,316.89,171.34,0,0,347625,2940.01,56111
1/21/2025 0:00,100197.96,894,1454.71,417.8,4100.23,3914.82,3445.99,3988.58,3541.52,4542.47,773.78,2434.88,3947.62,3641.73,1529.71,0,3191.64,2240.45,8059,973.68,2859.35,1969.36,277.98,2972.78,190.13,0,1120,44865.9,4022.71,1985.58,7924.9,215.25,277.38,3913.23,3703.68,1225.75,948.4,993.88,3772.54,153.11,3543.43,3786.23,429.98,434,368.38,368.18,368.35,197.17,0,0,392811,1541.61,79901
1/22/2025 0:00,76761.5,462,790.76,207.07,1828.29,2151.68,2071.78,2251.45,2129.41,2652.22,442.29,1475.62,2239.81,2099.84,807.19,0,2213.56,1286.44,6117,627.22,2597.69,1330.52,257.41,1354.06,104.57,0,587,21496.9,2203.55,1220.92,4226.9,131.58,255.9,2233.91,2096.31,636.59,483.72,558.32,2074.69,109.3,1888.25,1982.69,222.76,222,151.54,150.99,151.44,121.81,0,0,190789,1544.14,67673
